"번호","사업장명","소재지전체주소","도로명전체주소","인허가일자","영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지면적","소재지우편번호","총종업원수","축산물가공업구분명","축산업무구분명","전화번호","위치정보(X)","위치정보(Y)","인허가번호","상세영업상태명"
"1","한국엠에스디동물약품(주)","서울특별시 중구 남대문로5가 541번지 ","서울특별시 중구 한강대로 416 22층 (남대문로5가 서울스퀘어)","20170925","운영중","","","","","8013","","","","동물용의약품도매상","02-331-2582","197680.69616900000  ","450664.65213800000  ","301000001220170001","정상"
"2","주식회사성보애니멀헬스","서울특별시 성동구 성수동2가 280-15번지 802호","서울특별시 성동구 광나루로8길 10 802호 (성수동2가 에이스성수타워1)","20160719","운영중","","","","","","","","","동물용의약품도매상","234370411","205621.70229500000  ","449756.79300000000  ","303000001220160001","정상"
"3","주식회사 카브","서울특별시 광진구 화양동 1번지 ","서울특별시 광진구 능동로 120 미래에너지관동 203204호 (화양동 건국대학교)","20160111","운영중","","","","","792.97","","","","동물용의약품도매상","02-6461-0085","207175.64304000000  ","449503.06780000000  ","304000001220160001","정상"
"4","(주)팜스홀","서울특별시 동대문구 용두동 129-167번지 2층 ","","20100223","운영중","","","","","67.16","","","","동물용의약품도매상","927-8934","202704.736992       ","452220.302938       ","305000001220100001","정상"
"5","(주)카카오팜","서울특별시 동대문구 장안동 430-2번지 ","서울특별시 동대문구 장한로 47 4층 (장안동 우측)","20170726","운영중","","","","","0","","","","동물용의약품도매상","02-6402-9690","205911.46693800000  ","451761.69701400000  ","305000001220170002","정상"
"6","일승물산(주)","서울특별시 중랑구 묵동 48-22번지 ","서울특별시 중랑구 공릉로18길 68 (묵동)","20001013","운영중","","","","","41.76","","","","동물용의약품도매상","972-6562","207307.92172200000  ","457622.69855100000  ","306000001220000001","정상"
"7","(주)에이팜","서울특별시 중랑구 면목동 191-87번지 성경빌딩 ","서울특별시 중랑구 봉우재로1길 3 2층 (면목동)","20171122","운영중","","","","","136.03","","","","동물용의약품도매상","02-6927-5475","206533.85366100000  ","454454.18201600000  ","306000001220170001","정상"
"8","서울수의약품(주)","서울특별시 성북구 안암동5가 110-126번지 ","서울특별시 성북구 안암로 47-1 (안암동5가)","20040915","운영중","","","","","148.5","","","","동물용의약품도매상","02-953-4050","202409.45681900000  ","453534.40042100000  ","307000001220040001","정상"
"9","대호상사","서울특별시 도봉구 창동 667-5번지 101호","서울특별시 도봉구 노해로62길 80 101호 (창동)","20111110","운영중","","","","","0","","","","동물용의약품도매상","","203397.71744800000  ","460906.46616300000  ","309000001220110001","정상"
"10","대암축산","서울특별시 노원구 공릉동 ","서울특별시 노원구 동일로190길 41 4호 (공릉동 진영빌딩)","20030613","운영중","","","","","93.73","","","","동물용의약품도매상","976-6123","206658.49180100000  ","458496.64350100000  ","310000001220030001","정상"
"11","(주)협성로하스","서울특별시 노원구 공릉동 571-38번지 진성빌딩 401호 ","","20061115","운영중","","","","","77","","","","동물용의약품도매상","","206314.949059       ","457752.96918        ","310000001220060001","정상"
"12","아이메디","서울특별시 노원구 상계동 1293번지 ","서울특별시 노원구 덕릉로118길 29 상가동 3층 309호 (상계동 불암현대아파트)","20170322","운영중","","","","","39","","","","동물용의약품도매상","","207288.95860900000  ","463171.08935600000  ","310000001220170001","정상"
"13","주식회사 삼양애니팜","서울특별시 은평구 갈현동 404-5번지 6층 ","서울특별시 은평구 통일로83길 6-5 (갈현동)","19810302","운영중","","","","","0","","","","동물용의약품도매상","388-2521","192842.32473900000  ","457962.76851700000  ","311000001219810001","정상"
"14","에스에프메디슨","서울특별시 은평구 응암동 84-2번지 신풍빌딩 6층 ","서울특별시 은평구 은평로13길 10 (응암동 신풍빌딩 6층)","20090302","운영중","","","","","66.6","","","","동물용의약품도매상","3477-8048","193435.06991600000  ","455845.05492400000  ","311000001220090001","정상"
"15","(주)삼지벳","서울특별시 서대문구 연희동 90-15번지 ","서울특별시 서대문구 증가로 12 2층 (연희동 연희동우체국)","20110126","운영중","","","","","0","","","","동물용의약품도매상","02-373-3668","193958.58845100000  ","452229.17214500000  ","312000001220110001","정상"
"16","한국엠에스디동물약품(주)","서울특별시 마포구 공덕동 168번지 ","서울특별시 마포구 마포대로 163 8층 (공덕동 서울신용보증재단)","20150714","운영중","","","","","","","","","동물용의약품도매상","02 331 2582","195936.80403400000  ","449957.21170200000  ","313000001220150001","정상"
"17","엠솔트레이딩","","서울특별시 양천구 목동동로 430 상가 A동 동 208호 (목동 목동신시가지아파트6단지)","20170614","운영중","","","","","","","","","동물용의약품도매상","2648-3410","189894.15452400000  ","448586.45736700000  ","314000001220170001","정상"
"18","대양신약","서울특별시 강서구 공항동 1351-4번지 ","서울특별시 강서구 방화대로6다길 20-12 (공항동)","20030919","운영중","","","","","60.74","","","","동물용의약품도매상","2665-6417","183909.69075100000  ","450698.54800300000  ","315000001220030002","정상"
"19","(주)에스에이비바이오텍","서울특별시 구로구 구로동 685-140번지 605호 ","서울특별시 구로구 구일로10길 93 605호 (구로동)","20020905","운영중","","","","","62.05","","","","동물용의약품도매상","857-0880","189117.65403300000  ","444052.82248300000  ","316000001220020001","정상"
"20","(주)에스틴","서울특별시 영등포구 문래동3가 55-20번지 에이스하이테크시티 1동 718호","서울특별시 영등포구 경인로 775 1동 718호 (문래동3가 에이스하이테크시티)","20050627","운영중","","","","","231","","","","동물용의약품도매상","02-3471-1915","191108.97592400000  ","446171.68682700000  ","318000001220050001","정상"
"21","(주)세이팜","서울특별시 영등포구 대림동 672-10번지 3층 ","서울특별시 영등포구 가마산로46길 3 3층 (대림동 신화빌딩)","20160420","운영중","","","","","","","","","동물용의약품도매상","02-849-6610","191186.91954800000  ","444735.68003300000  ","318000001220160001","정상"
"22","백광의약품(주)","서울특별시 영등포구 영등포동2가 94-29번지 1층 ","서울특별시 영등포구 버드나루로6길 10 1층 (영등포동2가)","20160523","운영중","","","","","0","","","","동물용의약품도매상","02-2639-0100","192278.84398600000  ","447003.30366600000  ","318000001220160002","정상"
"23","펫비즈","서울특별시 영등포구 대림동 738번지 백광빌딩 1층 ","서울특별시 영등포구 대림로33길 9 1층 (대림동)","20171120","운영중","","","","","","","","","동물용의약품도매상","","190937.26826300000  ","444246.67233300000  ","318000001220170001","정상"
"24","에이투메디팜","서울특별시 영등포구 도림동 224번지 ","서울특별시 영등포구 도영로7길 1 미도코리아 1층 (도림동)","20180306","운영중","","","","","0","","","","동물용의약품도매상","02-835-7576","190808.26818100000  ","445489.55636200000  ","318000001220180001","정상"
"25","(주)오창물산","서울특별시 서초구 서초동 하이센스빌딩 지층 ","서울특별시 서초구 사임당로17길 99 지층 (서초동 하이센스 빌딩)","19921005","운영중","","","","","167","","","","동물용의약품도매상","581-3862","201609.19046800000  ","443728.62950100000  ","321000001219920002","정상"
"26","참존약품","서울특별시 서초구 방배동 455-15번지 지층 ","서울특별시 서초구 방배천로4안길 61 (방배동 지층)","20001012","운영중","","","","","0","","","","동물용의약품도매상","522-8911","198518.58523200000  ","442368.05418300000  ","321000001220000001","정상"
"27","원무역상사","서울특별시 서초구 방배동 980-32번지 방배오피스텔 214호","서울특별시 서초구 효령로 53 214호 (방배동 방배오피스텔)","20001027","운영중","","","","","0","","","","동물용의약품도매상","583-8528","199132.50291300000  ","442215.67490500000  ","321000001220000002","정상"
"28","원진화학(주)","서울특별시 서초구 서초동 1503-15번지 양우빌딩 2층 ","서울특별시 서초구 반포대로23길 30 (서초동양우빌딩 2층)","20020221","운영중","","","","","0","","","","동물용의약품도매상","584-0871","200640.66305000000  ","443277.54408800000  ","321000001220020001","정상"
"29","에이테크","서울특별시 서초구 서초동 1429-6번지 ","서울특별시 서초구 남부순환로335길 13 2층 202호 (서초동)","20020906","운영중","","","","","86.94","","","","동물용의약품도매상","25878431","201830.54057100000  ","442664.30798900000  ","321000001220020007","정상"
"30","(주)유니온베트","서울특별시 서초구 서초동 1487-125번지 2층 ","서울특별시 서초구 명달로 34 2층 (서초동)","20030523","운영중","","","","","107.32","","","","동물용의약품도매상","5978432","200502.31946700000  ","442349.81626800000  ","321000001220030001","정상"
"31","주식회사 에스에프 메디슨","서울특별시 서초구 방배동 769-5번지 우원빌딩301호 ","서울특별시 서초구 방배중앙로 178 (방배동우원빌딩301호)","20030529","운영중","","","","","1255.8","","","","동물용의약품도매상","596-3481-3","198781.07771800000  ","443945.87051300000  ","321000001220030002","정상"
"32","(주)에스에프메디슨","서울특별시 서초구 방배동 769-5번지 우원빌딩 301 ","서울특별시 서초구 방배중앙로 178 (방배동우원빌딩 301)","20030529","운영중","","","","","1255.8","","","","동물용의약품도매상","596-3481-3","198781.07771800000  ","443945.87051300000  ","321000001220030003","정상"
"33","(주)비손에이에이치","서울특별시 영등포구 대림동 1623-12번지 상보빌딩 805호","서울특별시 서초구 서초중앙로 56 상보빌딩 8층 805호 (서초동)","20061020","운영중","","","","","","","","","동물용의약품도매상","3472-0484","201367.24152900000  ","443050.25011600000  ","321000001220060001","정상"
"34","아베텍","서울특별시 서초구 양재동 11-17번지 ","서울특별시 서초구 남부순환로 2614 2층 210호 (양재동 한솔로이젠트)","20130408","운영중","","","","","0","","","","동물용의약품도매상","02-6242-3242","203243.65600000000  ","442781.58586700000  ","321000001220130001","정상"
"35","(주)벨벳","서울특별시 서초구 내곡동 1-2036번지 ","서울특별시 서초구 샘마을길 3-4 (내곡동)","20150415","운영중","","","","","","","","","동물용의약품도매상","02-478-1440","206269.67694800000  ","439812.83274700000  ","321000001220150001","정상"
"36","(주)두레파마","경기도 안양시 동안구 비산동 1599-2번지 LG서초에클라트 1131호","서울특별시 서초구 반포대로14길 71 1131호 (서초동 LG서초에클라트)","20151125","운영중","","","","","48.67","","","","동물용의약품도매상","02-6933-8555","201282.82889200000  ","443051.34761100000  ","321000001220150002","정상"
"37","먼디파마유한회사","서울특별시 강남구 대치동 1008-2번지 시화빌딩 5층 ","","19980915","운영중","","","","","0","","","","동물용의약품도매상","568-5689","205842.262492       ","444574.980861       ","322000001219980002","정상"
"38","한국조에티스 주식회사","서울특별시 강남구 역삼동 823번지 풍림빌딩 5층 ","서울특별시 강남구 테헤란로 124 (역삼동)","20100730","운영중","","","","","0","","","","동물용의약품도매상","02-317-2708","202803.45108600000  ","444369.70818700000  ","322000001220100001","정상"
"39","주식회사 버박코리아","서울특별시 송파구 방이동 65-2번지 ","서울특별시 송파구 오금로 99 (방이동 진넥스레이크뷰)","20090305","운영중","","","","","172.43","","","","동물용의약품도매상","02-496-4074","209534.07542800000  ","445998.70611500000  ","323000001220090002","정상"
"40","(주)유니코애니멀헬스","서울특별시 송파구 삼전동 49-1번지 ","서울특별시 송파구 백제고분로 224 (삼전동 창대빌딩)","20140430","운영중","","","","","212.36","","","","동물용의약품도매상","260132617","208081.29139100000  ","444855.58139700000  ","323000001220140001","정상"
"41","한국엘랑코동물약품(주)","서울특별시 송파구 송파동 32-7번지 ","서울특별시 송파구 석촌호수로 274 (송파동 씨엠빌딩)","20170501","운영중","","","","","261.2","","","","동물용의약품도매상","25530304","209390.92659600000  ","445644.47127800000  ","323000001220170001","정상"
"42","벨벳코리아","서울특별시 강동구 둔촌동 454-6번지 ","","20030602","운영중","","","","","70.7","","","","동물용의약품도매상","478-1440","212487.364321       ","447660.416337       ","324000001220030003","정상"
"43","브이에스팜(주)","서울특별시 강동구 길동 236-7번지 ","","20120220","운영중","","","","","100","","","","동물용의약품도매상","3436-8252","212426.888054       ","447999.103871       ","324000001220120001","정상"